Recipe_ID,Source,Cuisine,Sub-Category,Dish Name,Servings,Calories per Serving,Total Fat (g),Saturated Fat (g),Monounsaturated Fat (g),Polyunsaturated Fat (g),Trans Fat (g),Cholesterol (mg),Sodium (mg),Potassium (mg),Total Carbohydrate (g),Dietary Fiber (g),Sugars (g),Protein (g),Image URL,Item Page Link
83,Rishi,Cocktails,Drinks,Dark Rum Daiquiri Recipe - Cocktails & Bars,1,197,0,0,0,0,0,0,21,0,6,0,6,0,http://www.cocktailsandbars.com/wp-content/uploads/2017/02/dark-rum-daiquiri-cocktailsandbars-IMG_098914-1.jpg,https://www.myfitnesspal.com/recipe/view/238885983431933
197,Rishi,Indian,Dessert,Punjabi Aate ki Pinni,33,208,12,9,3,0,0,31,24,97,12,9,11,4,https://aahaaramonline.com/wp-content/uploads/2021/11/Aate_ki_Pinni.png,https://www.myfitnesspal.com/recipe/view/203553284869805
72,Rishi,Western,Side,Roasted Brussels Sprouts with Warm Honey Glaze,4,351,23,7,12,2,0,23,186,702,26,7,23,5,"https://assets.bonappetit.com/photos/5b9a90176534064ad1e2ecc8/16:9/w_1280,c_limit/ba-recipe-roasted-glazy-brussels-sprouts.jpg",https://www.myfitnesspal.com/recipe/view/243831617277117
204,Rishi,Cocktails,Drinks,Cocktail: El Presidente,1,203,0,0,0,0,0,0,17,25,15,0,5,0,https://cdn-assets.diffords.com/bundle/2020/05/ed703f4542a5b95c08327c21149d8a8b.jpg,https://www.myfitnesspal.com/recipe/view/57343856332285
108,Rishi,Cocktails,Drinks,Cocktail: Bacardi Special,1,171,0,0,0,0,0,0,0,2,6,0,6,0,https://cdn.diffords.com/contrib/stock-images/2018/05/5af2fc3a782bb.jpg,https://www.myfitnesspal.com/recipe/view/208091051077037
58,Rishi,Cocktails,Drinks,Cocktail: Easy Speak,1,167,0,0,0,0,0,0,0,0,5,0,4,0,https://cdn.diffords.com/contrib/stock-images/2018/05/5af3029c8cd24.jpg,https://www.myfitnesspal.com/recipe/view/208529184992701
82,Marion,Italian/Western,,Mushroom Stroganoff,2,432,7,1,3,0,0,0,690,89,60,3,4,15,https://cdn.diffords.com/contrib/stock-images/2018/05/5af30cd2174e9.jpg,https://www.myfitnesspal.com/recipe/view/200007792586237
56,Rishi,Cocktails,Drinks,Cocktail: Port Old-Fashioned/Prohibition,1,181,0,0,0,0,0,0,4,14,7,0,7,0,https://cdn.diffords.com/contrib/stock-images/2018/05/5af3101a59765.jpg,https://www.myfitnesspal.com/recipe/view/199301438213181
67,Rishi,Cocktails,Drinks,Cocktail: Count Mast,1,159,0,0,0,0,0,0,0,0,4,0,3,0,https://cdn.diffords.com/contrib/stock-images/2019/10/5db80d7b2a752.jpg,https://www.myfitnesspal.com/recipe/view/172912999836781
76,Rishi,Cocktails,Drinks,Cocktail: Air Mail,1,191,0,0,0,0,0,0,10,0,26,0,3,0,https://cdn.diffords.com/contrib/stock-images/2020/02/5e3d5c1c8e350.jpg,https://www.myfitnesspal.com/recipe/view/172640290425917
59,Rishi,Cocktails,Drinks,Cocktail: Cin-Cyn,1,121,0,0,0,0,0,0,7,0,4,0,4,0,https://cdn.diffords.com/contrib/stock-images/2020/07/5f1968069f398.jpg,https://www.myfitnesspal.com/recipe/view/208520456604781
89,Rishi,Cocktails,Drinks,Cocktail: Dante's Old Fashioned,1,175,0,0,0,0,0,0,2,0,19,0,4,0,https://cdn.diffords.com/contrib/stock-images/2020/08/5f3258db8c51d.jpg,https://www.myfitnesspal.com/recipe/view/195178085174781
206,Rishi,Cocktails,Drinks,Cocktail: Ricetta Spritz con il Cynar,1,103,0,0,0,0,0,0,7,48,4,1,3,0,https://cdn.ilclubdellericette.it/wp-content/uploads/2021/06/spritz-con-il-cynar-1200x630.jpg,https://www.myfitnesspal.com/recipe/view/61864179174829
156,Rishi,Italian/Western,Pasta,Roasted Courgette Pesto Pasta  - Cupful of Kale,5,474,18,4,0,0,0,0,281,18,37,11,4,24,https://cupfulofkale.com/wp-content/uploads/2019/05/Roasted-Courgette-Pesto-Pasta.jpeg,https://www.myfitnesspal.com/recipe/view/195461565623725
88,Rishi,Indian,Snacks,Beetroot Cutlet,10,102,3,0,2,1,0,0,50,201,15,2,2,2,https://i2.wp.com/www.vegrecipesofindia.com/wp-content/uploads/2012/07/beetroot-tikki-recipe-1a.jpg,https://www.myfitnesspal.com/recipe/view/160262328921965
66,Rishi,Indian,Side,Green Coriander Coconut Chutney,4,82,6,4,1,0,0,0,150,21,3,1,1,1,https://i2.wp.com/www.vegrecipesofindia.com/wp-content/uploads/2013/07/coriander-coconut-chutney-1c.jpg,https://www.myfitnesspal.com/recipe/view/207824796651181
79,Rishi,Indian,Breakfast,Rava Idli (Soft & Fluffy),2,256,7,1,4,2,0,0,412,82,30,1,2,13,https://i2.wp.com/www.vegrecipesofindia.com/wp-content/uploads/2013/11/rava-idli-4.jpg,https://www.myfitnesspal.com/recipe/view/208372409191981
69,Rishi,Indian,Snacks,Samosa,12,148,6,1,2,1,0,0,426,129,19,3,1,4,https://i2.wp.com/www.vegrecipesofindia.com/wp-content/uploads/2013/11/samosa-4.jpg,https://www.myfitnesspal.com/recipe/view/243558907858605
233,Rishi,Indian,Rice,Curd Rice,2,484,18,4,0,0,0,0,583,80,62,2,8,17,https://i2.wp.com/www.vegrecipesofindia.com/wp-content/uploads/2016/07/curd-rice-1.jpg,https://www.myfitnesspal.com/recipe/view/160416804908845
114,Rishi,Indian,Sabzi,Cauliflower Fry,4,116,4,3,0,0,0,0,345,783,14,5,5,4,https://i2.wp.com/www.vegrecipesofindia.com/wp-content/uploads/2018/07/cauliflower-fry-recipe-1a.jpg,https://www.myfitnesspal.com/recipe/view/164400525700525
101,Rishi,Indian,Sabzi,Bagara Baingan,4,176,11,3,2,1,0,0,609,93,5,7,5,6,https://i2.wp.com/www.vegrecipesofindia.com/wp-content/uploads/2018/12/bagara-baingan-recipe-1a.jpg,https://www.myfitnesspal.com/recipe/view/164675261017773
120,Rishi,Indian,Sabzi,Cabbage Poriyal,4,100,6,0,0,0,0,0,312,226,7,3,5,2,https://i2.wp.com/www.vegrecipesofindia.com/wp-content/uploads/2018/12/cabbage-poriyal-recipe-1a.jpg,https://www.myfitnesspal.com/recipe/view/234504961608957
93,Rishi,Indian,Breakfast,Rava Upma,2,254,6,1,3,1,0,0,621,101,43,3,2,7,https://i2.wp.com/www.vegrecipesofindia.com/wp-content/uploads/2018/12/upma-recipe-1.jpg,https://www.myfitnesspal.com/recipe/view/265143244861101
132,Rishi,Indian,Breakfast,Maharashtrain style Sabudana Khichdi,2,310,11,2,1,0,0,0,586,242,47,1,3,7,https://lh4.googleusercontent.com/proxy/nOD07fp4WcS26H_AKVZoKNIriGZsK6OikE5vUP2lKE7zmUoCtxs5AJs0Ayw5HNDicdEvB4r_5iqCpKuKt2Lf3MOLTS47NuIzwY2iJrSud8GY4O8=w1200-h630-p-k-no-nu,https://www.myfitnesspal.com/recipe/view/32725267255101
